Name,Latitude,Longitude,Description,Day
"Peter Freuchens Vej 6, 9210 Aalborg SØ",57.024184,9.940942,CONTAINER,0
"Peter Freuchens Vej 16, 9210 Aalborg SØ",57.024294,9.939307,CONTAINER,0
"Peter Freuchens Vej 20, 9210 Aalborg SØ",57.024605,9.939348,CONTAINER,0
"Peter Freuchens Vej 42, 9210 Aalborg SØ",57.024724,9.93794,CONTAINER,0
"Peter Freuchens Vej 39, 9210 Aalborg SØ",57.023498,9.93662,CONTAINER,0
"Fridtjof Nansens Vej 25, 9210 Aalborg SØ",57.023807,9.939039,CONTAINER,0
"Fridtjof Nansens Vej 3, 9210 Aalborg SØ",57.022733,9.9399,CONTAINER,0
"Umanakvej 2, 9210 Aalborg SØ",57.022396,9.940656,CONTAINER,0
"Roald Amundsens Vej 14, 9210 Aalborg SØ",57.023036,9.937662,CONTAINER,0
"Roald Amundsens Vej 2, 9210 Aalborg SØ",57.0225,9.938786,CONTAINER,0
"Mylius Erichsens Vej 77, 9210 Aalborg SØ",57.021548,9.938074,CONTAINER,0
"C. P. Holbølls Plads 20, 9210 Aalborg SØ",57.021521,9.935523,CONTAINER,0
"Peter Bruuns Vej 89, 9210 Aalborg SØ",57.021654,9.933078,CONTAINER,0
"Th. Sauers Vej 86, 9000 Aalborg",57.026053,9.931513,CONTAINER,0
"Th. Sauers Vej 64, 9000 Aalborg",57.026225,9.930357,CONTAINER,0
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,1
"Nøhr Sørensens Vej 1 B, 9210 Aalborg SØ",57.015845,9.932553,CONTAINER,1
"Beatesmindevej 6, 9210 Aalborg SØ",57.01982,9.928786,CONTAINER,1
"Beatesmindevej 30, 9210 Aalborg SØ",57.019237,9.930615,CONTAINER,1
"Beatesmindevej 54, 9210 Aalborg SØ",57.018612,9.932401,CONTAINER,1
"Poul Larsens Vej 80, 9000 Aalborg",57.034455,9.933373,CONTAINER,1
"Boeck-Hansens Vej 4, 9000 Aalborg",57.034739,9.933828,CONTAINER,1
"Kildestrømmen 6, 9000 Aalborg",57.033539,9.936373,CONTAINER,1
"Kildestrømmen 8, 9000 Aalborg",57.033515,9.937232,CONTAINER,1
"Kildestrømmen 4, 9000 Aalborg",57.033678,9.935609,CONTAINER,1
"Boeck-Hansens Vej 11, 9000 Aalborg",57.034093,9.934699,CONTAINER,1
"Boeck-Hansens Vej 19, 9000 Aalborg",57.033,9.935106,CONTAINER,1
"Kildevældet 7, 9000 Aalborg",57.033046,9.936639,CONTAINER,1
"Kildevældet 9, 9000 Aalborg",57.032839,9.937155,CONTAINER,1
"Alexander Foss Gade 7, 9000 Aalborg",57.035826,9.93466,CONTAINER,1
"Alexander Foss Gade 18, 9000 Aalborg",57.035693,9.935286,CONTAINER,1
"Alexander Foss Gade 16 A, 9000 Aalborg",57.03571,9.936113,CONTAINER,1
"Ditlev Bergs Vej 16, 9000 Aalborg",57.035105,9.936055,CONTAINER,1
"Alexander Foss Gade 12, 9000 Aalborg",57.035241,9.934922,CONTAINER,1
"Boeck-Hansens Vej 3, 9000 Aalborg",57.034873,9.934457,CONTAINER,1
"Visionsvej 2, 9000 Aalborg",57.035951,9.933277,CONTAINER,1
"Visionsvej 4, 9000 Aalborg",57.035445,9.933861,CONTAINER,1
"Tankedraget 31, 9000 Aalborg",57.036421,9.933004,CONTAINER,1
"Tankedraget 3, 9000 Aalborg",57.03672,9.933231,CONTAINER,1
"Visionsvej 11, 9000 Aalborg",57.036158,9.932263,CONTAINER,1
"Visionsvej 1, 9000 Aalborg",57.035587,9.932806,CONTAINER,1
"Samsøgade 51, 9000 Aalborg",57.038168,9.942023,CONTAINER,1
"Østre Alle 87, 9000 Aalborg",57.03919,9.942656,CONTAINER,1
"Kridtsløjfen 18, 9000 Aalborg",57.036247,9.936585,CONTAINER,1
"Kridtsløjfen 4, 9000 Aalborg",57.035945,9.937761,CONTAINER,1
"Ditlev Bergs Vej 29, 9000 Aalborg",57.035285,9.937022,CONTAINER,1
"Ditlev Bergs Vej 5, 9000 Aalborg",57.034877,9.936604,CONTAINER,1
"Kalkskrænten 20, 9000 Aalborg",57.034629,9.939827,CONTAINER,1
"Kalkskrænten 58, 9000 Aalborg",57.033471,9.941261,CONTAINER,1
"Plateauet 21, 9000 Aalborg",57.033827,9.939334,CONTAINER,1
"Plateauet 104, 9000 Aalborg",57.03434,9.93874,CONTAINER,1
"Plateauet 54, 9000 Aalborg",57.034444,9.937061,CONTAINER,1
"Kridtsløjfen 21, 9000 Aalborg",57.032893,9.940946,CONTAINER,1
"Overblikket 8, 9000 Aalborg",57.032998,9.939484,CONTAINER,1
"Overblikket 9, 9000 Aalborg",57.032232,9.938957,CONTAINER,1
"Karnersvej 21, 9000 Aalborg",57.03734909537882,9.939179694441036,CONTAINER,1
"Ny Kærvej 8 D, 9000 Aalborg",57.032621,9.917755,CONTAINER,1
"Enggårdsgade 5, 9000 Aalborg",57.032113,9.91653,CONTAINER,1
"Forchhammersvej 83, 9000 Aalborg",57.033625,9.912707,CONTAINER,1
"Forchhammersvej 9 E, 9000 Aalborg",57.035942,9.913802,CONTAINER,1
"Forchhammersvej 9 B, 9000 Aalborg",57.036187,9.913299,CONTAINER,1
"Forchhammersvej 9 L, 9000 Aalborg",57.03602,9.913142,CONTAINER,1
"Provstejorden 12, 9000 Aalborg",57.029495,9.908993,CONTAINER,1
"Provstejorden 11, 9000 Aalborg",57.029593,9.909951,CONTAINER,1
"Præstemarken 104, 9000 Aalborg",57.023542,9.90546,CONTAINER,1
"Præstemarken 61, 9000 Aalborg",57.023603,9.907806,CONTAINER,1
"Klokkervangen 2, 9000 Aalborg",57.024788,9.908442,CONTAINER,1
"Præstemarken 53, 9000 Aalborg",57.025306,9.907882,CONTAINER,1
"Præstemarken 46 B, 9000 Aalborg",57.025428,9.906852,CONTAINER,1
"Degnelodden 21, 9000 Aalborg",57.026182,9.907659,CONTAINER,1
"Provstejorden 54, 9000 Aalborg",57.026131,9.909252,CONTAINER,1
"Præstemarken 21, 9000 Aalborg",57.026652,9.907275,CONTAINER,1
"Provstejorden 34, 9000 Aalborg",57.027941,9.909458,CONTAINER,1
"Provstejorden 8, 9000 Aalborg",57.02974,9.908743,CONTAINER,1
"Gundorfslund 19, 9000 Aalborg",57.030863,9.909493,CONTAINER,1
"Gundorfslund 7, 9000 Aalborg",57.031513,9.909293,CONTAINER,1
"Gundorfslund 4 C, 9000 Aalborg",57.03105,9.908481,CONTAINER,1
"Gundorfslund 24, 9000 Aalborg",57.030568,9.908918,CONTAINER,1
"Konvalvej 22, 9000 Aalborg",57.030446,9.903148,CONTAINER,1
"Konvalvej 37, 9000 Aalborg",57.029943,9.902427,CONTAINER,1
"Konvalvej 11, 9000 Aalborg",57.028901,9.902234,CONTAINER,1
"Bynkevej 25, 9000 Aalborg",57.028431,9.902158,CONTAINER,1
"Blomstermarken 60, 9000 Aalborg",57.027875,9.901194,CONTAINER,1
"Blomstermarken 35, 9000 Aalborg",57.027374,9.901637,CONTAINER,1
"Blomstermarken 18, 9000 Aalborg",57.027682,9.902662,CONTAINER,1
"Revlingbakken 121, 9000 Aalborg",57.026047,9.893934,CONTAINER,1
"Revlingbakken 107, 9000 Aalborg",57.026222,9.895585,CONTAINER,1
"Revlingbakken 63, 9000 Aalborg",57.02602,9.897174,CONTAINER,1
"Revlingbakken 77, 9000 Aalborg",57.025583,9.898575,CONTAINER,1
"Perikumvej 7, 9000 Aalborg",57.025415,9.899848,CONTAINER,1
"Perikumvej 4, 9000 Aalborg",57.025132,9.899093,CONTAINER,1
"Malurtvej 1, 9000 Aalborg",57.024176,9.900468,CONTAINER,1
"Lindenborgvej 65, 9200 Aalborg SV",57.016659,9.891483,CONTAINER,1
"Scheelsmindevej 64, 9200 Aalborg SV",57.019202,9.902004,CONTAINER,1
"Scheelsmindevej 120, 9200 Aalborg SV",57.018443,9.90135,CONTAINER,1
"Scheelsmindevej 4, 9200 Aalborg SV",57.021508,9.90348,CONTAINER,1
"Vegavej 2, 9200 Aalborg SV",57.022114,9.907565,CONTAINER,1
"Stjernevej 1, 9200 Aalborg SV",57.021489,9.910103,CONTAINER,1
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,2
"Marie Curies Alle 1, 9220 Aalborg Øst",57.013337,9.964932,CONTAINER,2
"Marie Curies Alle 11, 9220 Aalborg Øst",57.013041,9.96455,CONTAINER,2
"James Tobins Alle 151, 9220 Aalborg Øst",57.012137,9.96804,CONTAINER,2
"Nerudas Alle 213, 9220 Aalborg Øst",57.011739,9.966436,CONTAINER,2
"Nerudas Alle 157, 9220 Aalborg Øst",57.010721,9.965326,CONTAINER,2
"Nerudas Alle 105, 9220 Aalborg Øst",57.010494,9.967603,CONTAINER,2
"Nerudas Alle 145, 9220 Aalborg Øst",57.010438,9.966499,CONTAINER,2
"Nerudas Alle 77, 9220 Aalborg Øst",57.010041,9.968939,CONTAINER,2
"Nerudas Alle 28, 9220 Aalborg Øst",57.011413,9.969448,CONTAINER,2
"Nerudas Alle 3, 9220 Aalborg Øst",57.012557,9.970404,CONTAINER,2
"Nerudas Alle 6, 9220 Aalborg Øst",57.012487,9.970028,CONTAINER,2
"Nerudas Alle 34, 9220 Aalborg Øst",57.010963,9.968832,CONTAINER,2
"Nerudas Alle 66, 9220 Aalborg Øst",57.011373,9.966892,CONTAINER,2
"James Tobins Alle 5, 9220 Aalborg Øst",57.012451,9.967686,CONTAINER,2
"James Tobins Alle 1, 9220 Aalborg Øst",57.012749,9.967867,CONTAINER,2
"Pontoppidanstræde 93 A, 9220 Aalborg Øst",57.016711,9.974563,CONTAINER,2
"Pontoppidanstræde 71 A, 9220 Aalborg Øst",57.016995,9.972824,CONTAINER,2
"Thulevej 12, 9210 Aalborg SØ",57.020103,9.949962,CONTAINER,2
"Thulevej 38, 9210 Aalborg SØ",57.021043,9.946644,CONTAINER,2
"Thulevej 46, 9210 Aalborg SØ",57.021484,9.945836,CONTAINER,2
"Thulevej 54, 9210 Aalborg SØ",57.022005,9.945179,CONTAINER,2
"Thulevej 30, 9210 Aalborg SØ",57.020669,9.947603,CONTAINER,2
"Thulevej 20, 9210 Aalborg SØ",57.020317,9.948862,CONTAINER,2
"Thulevej 6, 9210 Aalborg SØ",57.020002,9.950738,CONTAINER,2
"Scoresbysundvej 8, 9210 Aalborg SØ",57.019086,9.950571,CONTAINER,2
"Scoresbysundvej 10, 9210 Aalborg SØ",57.018647,9.950126,CONTAINER,2
"Hellevangen 77, 9210 Aalborg SØ",57.018991,9.934832,CONTAINER,2
"Hellevangen 25, 9210 Aalborg SØ",57.017902,9.93095,CONTAINER,2
"Beatesmindevej 16, 9210 Aalborg SØ",57.019167,9.928088,CONTAINER,2
"Hellevangen 49, 9210 Aalborg SØ",57.01862,9.928695,CONTAINER,2
"Hellevangen 39, 9210 Aalborg SØ",57.018333,9.929596,CONTAINER,2
"Hellevangen 13, 9210 Aalborg SØ",57.017562,9.932023,CONTAINER,2
"Hellevangen 1, 9210 Aalborg SØ",57.017219,9.933098,CONTAINER,2
"Pandoravej 84, 9210 Aalborg SØ",57.010992,9.944436,CONTAINER,2
"Pandoravej 54, 9210 Aalborg SØ",57.011362,9.945424,CONTAINER,2
"Fortunavej 16, 9210 Aalborg SØ",57.008081,9.945984,CONTAINER,2
"Fortunavej 2 E, 9210 Aalborg SØ",57.008528,9.943738,CONTAINER,2
"Dikevej 40, 9210 Aalborg SØ",57.013034,9.954188,CONTAINER,2
"Korevej 15, 9210 Aalborg SØ",57.01154,9.954509,CONTAINER,2
"Dionevej 7, 9210 Aalborg SØ",57.010323,9.955474,CONTAINER,2
"Dionevej 18, 9210 Aalborg SØ",57.009586,9.954923,CONTAINER,2
"Dionevej 52, 9210 Aalborg SØ",57.00981510428822,9.954669983236256,CONTAINER,2
"Metisvej 2, 9210 Aalborg SØ",57.008403,9.955083,CONTAINER,2
"Metisvej 15, 9210 Aalborg SØ",57.008728,9.955161,CONTAINER,2
"Ledavej 75, 9210 Aalborg SØ",57.007676,9.947786,CONTAINER,2
"Kronosvej 114, 9210 Aalborg SØ",57.003772,9.944194,CONTAINER,2
"Kronosvej 142, 9210 Aalborg SØ",57.004117,9.946228,CONTAINER,2
"Kronosvej 101, 9210 Aalborg SØ",57.003773,9.94336,CONTAINER,2
"Kærholt 56, 9210 Aalborg SØ",57.004069,9.930166,CONTAINER,2
"Kastanjen 6, 9210 Aalborg SØ",57.006172,9.92686,CONTAINER,2
"Åbrinken 1, 9200 Aalborg SV",57.009108,9.900933,CONTAINER,2
"Lindenborgvej 43, 9200 Aalborg SV",57.015898,9.889557,CONTAINER,2
"Lindenborgvej 53, 9200 Aalborg SV",57.016727,9.890037,CONTAINER,2
"Lindenborgvej 77, 9200 Aalborg SV",57.015827,9.891608,CONTAINER,2
"Lindenborgvej 89, 9200 Aalborg SV",57.015428,9.890042,CONTAINER,2
"Karen Blixens Vej 15, 9200 Aalborg SV",57.014687,9.889807,CONTAINER,2
"Karen Blixens Vej 21, 9200 Aalborg SV",57.014533,9.890702,CONTAINER,2
"Digtervejen 11 A, 9200 Aalborg SV",57.014131,9.888529,CONTAINER,2
"Lyngholmsvej 1, 9200 Aalborg SV",57.009276,9.890041,CONTAINER,2
"Lyngholmsvej 22, 9200 Aalborg SV",57.00994,9.891189,CONTAINER,2
"Rosengården 18, 9200 Aalborg SV",57.009541,9.893018,CONTAINER,2
"Rosengården 32, 9200 Aalborg SV",57.00889,9.894071,CONTAINER,2
"Rosengården 8, 9200 Aalborg SV",57.009439,9.892098,CONTAINER,2
"Stationsmestervej 76, 9200 Aalborg SV",57.007807,9.891044,CONTAINER,2
"Stationsmestervej 90, 9200 Aalborg SV",57.007293,9.892412,CONTAINER,2
"Stationsmestervej 35, 9200 Aalborg SV",57.007275,9.8935,CONTAINER,2
"Stationsmestervej 23, 9200 Aalborg SV",57.008745,9.890832,CONTAINER,2
"Stationsmestervej 24, 9200 Aalborg SV",57.008939,9.889042,CONTAINER,2
"Dyrskuevej 19, 9200 Aalborg SV",57.007913,9.88728,CONTAINER,2
"Dyrskuevej 33 C, 9200 Aalborg SV",57.00691,9.887769,CONTAINER,2
"Sløjfen 2, 9200 Aalborg SV",57.006342,9.88936,CONTAINER,2
"Dyrskuevej 51, 9200 Aalborg SV",57.005996,9.890977,CONTAINER,2
"Gartnervej 42 A, 9200 Aalborg SV",57.000627,9.877473,CONTAINER,2
"Gartnervej 68 A, 9200 Aalborg SV",57.000139,9.878212,CONTAINER,2
"Gartnervej 156, 9200 Aalborg SV",57.000178,9.880677,CONTAINER,2
"Gartnervej 190, 9200 Aalborg SV",57.000852,9.879102,CONTAINER,2
"Hobrovej 412, 9200 Aalborg SV",57.00717,9.883353,CONTAINER,2
"Holger Drachmanns Vej 1, 9200 Aalborg SV",57.007348,9.880894,CONTAINER,2
"Skelagervej 375 L, 9000 Aalborg",57.022481,9.873548,CONTAINER,2
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,3
"Marshalls Alle 4, 9220 Aalborg Øst",57.014493,9.959984,CONTAINER,3
"Marshalls Alle 11, 9220 Aalborg Øst",57.013814,9.960786,CONTAINER,3
"Marshalls Alle 1, 9220 Aalborg Øst",57.014203,9.961174,CONTAINER,3
"Marie Curies Alle 53, 9220 Aalborg Øst",57.012342,9.964344,CONTAINER,3
"Marie Curies Alle 118, 9220 Aalborg Øst",57.011407,9.962861,CONTAINER,3
"Marie Curies Alle 95, 9220 Aalborg Øst",57.01173,9.9638,CONTAINER,3
"Tinbergens Alle 33, 9260 Gistrup",57.012332,9.976539,CONTAINER,3
"Tinbergens Alle 61, 9260 Gistrup",57.011924,9.975536,CONTAINER,3
"Seiferts Alle 6, 9260 Gistrup",57.012351,9.973079,CONTAINER,3
"Seiferts Alle 8, 9260 Gistrup",57.012399,9.972169,CONTAINER,3
"Seiferts Alle 4, 9260 Gistrup",57.012362,9.97392,CONTAINER,3
"Myrdalstræde 26, 9220 Aalborg Øst",57.013297,9.979015,CONTAINER,3
"Myrdalstræde 25, 9220 Aalborg Øst",57.013905,9.976499,CONTAINER,3
"Myrdalstræde 15, 9220 Aalborg Øst",57.013254,9.976226,CONTAINER,3
"Jasminparken 1 B, 9260 Gistrup",57.007951,9.987122,CONTAINER,3
"Jasminparken 27 B, 9260 Gistrup",57.007467,9.986979,CONTAINER,3
"Jasminparken 88 B, 9260 Gistrup",57.006799,9.986604,CONTAINER,3
"Halldor Laxness Vej 1, 9220 Aalborg Øst",57.012641,9.981634,CONTAINER,3
"Damstræde 2, 9220 Aalborg Øst",57.015619,9.982936,CONTAINER,3
"Damstræde 50, 9220 Aalborg Øst",57.015659,9.98047,CONTAINER,3
"Fredrik Bajers Vej 2, 9220 Aalborg Øst",57.016779,9.983559,CONTAINER,3
"Fredrik Bajers Vej 144, 9220 Aalborg Øst",57.017891,9.983287,CONTAINER,3
"Fredrik Bajers Vej 154, 9220 Aalborg Øst",57.017943,9.981883,CONTAINER,3
"Damstræde 135, 9220 Aalborg Øst",57.0161,9.978311,CONTAINER,3
"Niels Bohrs Vej 36, 9220 Aalborg Øst",57.018077,9.988359,CONTAINER,3
"Niels Bohrs Vej 40, 9220 Aalborg Øst",57.017169,9.988428,CONTAINER,3
"Sigrid Undsets Vej 176, 9220 Aalborg Øst",57.017847,9.990869,CONTAINER,3
"Sigrid Undsets Vej 276, 9220 Aalborg Øst",57.017143,9.990077,CONTAINER,3
"Sigrid Undsets Vej 280 A, 9220 Aalborg Øst",57.01659,9.988374,CONTAINER,3
"Sigrid Undsets Vej 223, 9220 Aalborg Øst",57.015498,9.988383,CONTAINER,3
"Sigrid Undsets Vej 149, 9220 Aalborg Øst",57.015567,9.989544,CONTAINER,3
"Langagervej 4, 9220 Aalborg Øst",57.021739,9.977589,CONTAINER,3
"Ribevej 36, 9220 Aalborg Øst",57.021933,9.979949,CONTAINER,3
"Ribevej 24, 9220 Aalborg Øst",57.022616,9.979936,CONTAINER,3
"Ribevej 3, 9220 Aalborg Øst",57.023426,9.9772,CONTAINER,3
"Brandevej 10, 9220 Aalborg Øst",57.025037,9.978986,CONTAINER,3
"Brandevej 8 A, 9220 Aalborg Øst",57.025358,9.978311,CONTAINER,3
"Brandevej 2 A, 9220 Aalborg Øst",57.025324,9.976606,CONTAINER,3
"Herningvej 5 A, 9220 Aalborg Øst",57.028419,9.979639,CONTAINER,3
"Herningvej 11 A, 9220 Aalborg Øst",57.029766,9.980001,CONTAINER,3
"Herningvej 17 C, 9220 Aalborg Øst",57.028953,9.979422,CONTAINER,3
"Herningvej 1 C, 9220 Aalborg Øst",57.028551,9.97854,CONTAINER,3
"Herningvej 223, 9220 Aalborg Øst",57.021286,9.985467,CONTAINER,3
"Herningvej 123, 9220 Aalborg Øst",57.023512,9.985765,CONTAINER,3
"Næssundvej 9, 9220 Aalborg Øst",57.026332,9.991743,CONTAINER,3
"Næssundvej 53, 9220 Aalborg Øst",57.027095,9.993818,CONTAINER,3
"Næssundvej 126, 9220 Aalborg Øst",57.026811,9.994701,CONTAINER,3
"Næssundvej 165, 9220 Aalborg Øst",57.025406,9.992006,CONTAINER,3
"Tambosundvej 37, 9220 Aalborg Øst",57.024117,9.991363,CONTAINER,3
"Vilsundvej 119, 9220 Aalborg Øst",57.028753,9.99312,CONTAINER,3
"Vilsundvej 1, 9220 Aalborg Øst",57.028208,9.992059,CONTAINER,3
"Vilsundvej 140, 9220 Aalborg Øst",57.027466,9.992,CONTAINER,3
"Vilsundvej 106, 9220 Aalborg Øst",57.027458,9.990815,CONTAINER,3
"Elisevej 26, 9000 Aalborg",57.031714,9.961721,CONTAINER,3
"Metavej 3, 9000 Aalborg",57.030068,9.964756,CONTAINER,3
"Sofievej 26, 9000 Aalborg",57.030523,9.965337,CONTAINER,3
"Sofievej 16 B, 9000 Aalborg",57.032241,9.964673,CONTAINER,3
"Sofievej 40, 9000 Aalborg",57.029615,9.96516,CONTAINER,3
"Golfbakken 20, 9000 Aalborg",57.02237,9.962014,CONTAINER,3
"Golfhaven 2, 9000 Aalborg",57.023401,9.961251,CONTAINER,3
"Hadsundvej 180 A, 9000 Aalborg",57.026025,9.95863,CONTAINER,3
"Hadsundvej 182 A, 9000 Aalborg",57.024873,9.95868,CONTAINER,3
"Sonjavej 3, 9000 Aalborg",57.026965,9.961478,CONTAINER,3
"Sonjavej 30, 9000 Aalborg",57.025029,9.962524,CONTAINER,3
"Sonjavej 14, 9000 Aalborg",57.025598,9.961962,CONTAINER,3
"Charlottehøj 8, 9000 Aalborg",57.029959,9.957817,CONTAINER,3
"Charlottehøj 82, 9000 Aalborg",57.030148,9.962692,CONTAINER,3
"Charlottehøj 44, 9000 Aalborg",57.029654,9.961309,CONTAINER,3
"Charlottehøj 17, 9000 Aalborg",57.030184,9.958746,CONTAINER,3
"Golfparken 104, 9000 Aalborg",57.030596,9.952829,CONTAINER,3
"Golfparken 135, 9000 Aalborg",57.02996,9.952945,CONTAINER,3
"Golfparken 36, 9000 Aalborg",57.030836,9.954055,CONTAINER,3
"Golfparken 3, 9000 Aalborg",57.030726,9.955275,CONTAINER,3
"Dagnyvej 7, 9000 Aalborg",57.031839,9.960746,CONTAINER,3
"Dagnyvej 19, 9000 Aalborg",57.032513,9.961146,CONTAINER,3
"Doravej 107, 9000 Aalborg",57.033092,9.959663,CONTAINER,3
"Doravej 65, 9000 Aalborg",57.033054,9.958087,CONTAINER,3
"Doravej 35, 9000 Aalborg",57.032906,9.957024,CONTAINER,3
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,4
"H. C. Andersens Vej 10, 9000 Aalborg",57.042914,9.968078,CONTAINER,4
"H. C. Andersens Vej 26, 9000 Aalborg",57.042343,9.970222,CONTAINER,4
"Årestrupsvej 10, 9000 Aalborg",57.042557,9.966625,CONTAINER,4
